tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
952900,107,1400000US17107952900,"Census Tract 9529, Logan County, Illinois",38,46,18,75,86,61,91,60,61,186,62000,17,3766,1892,1874,264,37.9,2941,614,3500,97,5,60,12,24,68,122,1592,1500,32.9,2.35,2.64,3519,916,1150,478,3702,64,3410,24,1500,1414,1235,4.9,112,62000,77222,540,241,30464,6.8,8.8,1500,1246,50,1074,529,79,43,660,17
953000,107,1400000US17107953000,"Census Tract 9530, Logan County, Illinois",16,49,11,19,30,45,62,40,51,75,71797,17,2329,1185,1144,172,39.0,1755,382,2204,0,23,11,0,0,91,77,1113,987,33.4,2.36,2.85,2329,653,525,477,2303,26,2138,0,987,910,846,5.7,40,71797,91521,277,88,37419,4.1,4.6,987,737,24,1005,468,22,24,817,17
953100,107,1400000US17107953100,"Census Tract 9531, Logan County, Illinois",169,51,98,97,101,92,121,13,53,196,50061,17,3836,2031,1805,112,33.3,3236,724,3123,462,4,9,0,7,231,170,1663,1592,23.1,2.05,2.63,3264,704,1223,445,3720,116,3530,83,1592,1518,1221,6.7,90,50061,62120,637,394,25980,14.0,16.2,1592,916,188,1124,566,18,44,727,17
953200,107,1400000US17107953200,"Census Tract 9532, Logan County, Illinois",135,41,70,42,57,70,29,77,82,138,58377,17,3331,1822,1509,355,37.6,2504,631,3048,106,0,37,0,12,128,116,1542,1408,29.5,2.24,2.78,3156,891,699,533,3290,41,2864,8,1408,1266,1191,5.7,33,58377,82933,471,284,35229,13.3,21.2,1408,1029,56,1121,575,74,76,649,17
953300,107,1400000US17107953300,"Census Tract 9533, Logan County, Illinois",31,86,100,72,80,108,53,43,156,153,50960,17,3073,1472,1601,113,42.8,2511,557,2928,20,0,17,0,0,108,0,1710,1501,23.4,2.03,2.63,3041,502,523,272,3056,17,2914,14,1501,1324,1283,6.4,67,50960,63384,628,263,29209,1.3,6.2,1501,872,83,974,397,63,10,771,17
953400,107,1400000US17107953400,"Census Tract 9534, Logan County, Illinois",64,86,63,15,47,89,151,79,28,186,59980,17,3688,1756,1932,186,53.8,2970,1124,3561,44,0,0,0,5,78,59,1680,1615,24.3,2.17,2.68,3497,769,692,816,3650,38,3443,16,1615,1459,1338,5.5,173,59980,96588,737,177,42421,7.3,9.3,1615,1030,147,1226,541,62,34,755,17
953500,107,1400000US17107953500,"Census Tract 9535, Logan County, Illinois",13,10,27,51,34,11,33,50,33,92,81905,17,5034,2346,2688,100,39.4,4459,467,3474,1297,15,0,0,41,207,421,1238,1026,29.9,2.42,2.85,2478,654,1013,610,4935,99,4490,49,1026,948,851,4.7,149,81905,96023,347,62,20115,3.6,5.4,1026,895,19,1245,512,31,11,725,17
953600,107,1400000US17107953600,"Census Tract 9536, Logan County, Illinois",100,29,43,36,47,57,101,47,51,119,63395,17,3181,1415,1766,179,41.4,2397,613,3083,0,0,5,0,0,93,32,1443,1374,27.1,2.26,2.86,3109,854,719,528,3174,7,2981,0,1374,1192,1116,5.1,53,63395,76328,464,163,33562,7.2,9.0,1374,1111,47,1115,448,81,41,546,17
010100,109,1400000US17109010100,"Census Tract 101, McDonough County, Illinois",130,83,83,68,80,89,10,21,82,210,53920,17,3376,1533,1843,310,42.6,2634,586,3217,7,0,10,0,59,83,24,1686,1357,30.2,2.44,3.09,3316,931,619,244,3364,12,3027,10,1357,1184,967,5.4,29,53920,57882,454,293,25595,5.7,11.2,1357,1046,117,863,288,42,28,661,17
010200,109,1400000US17109010200,"Census Tract 102, McDonough County, Illinois",44,20,24,22,31,43,60,44,31,67,58750,17,1980,1040,940,97,40.8,1575,368,1883,2,0,19,0,0,76,12,875,752,21.8,2.63,3.25,1980,622,473,250,1961,19,1874,6,752,655,612,4.2,52,58750,70497,266,74,27776,6.2,11.8,752,614,17,917,490,42,19,724,17
